R_wall_nm,Vwall_eV,power,xmin_nm,Vmin_meV,Vsaddle_meV,barrier_meV,E0_meV,E1_meV,E0_above_min_meV,saddle_minus_E0_meV,pR_diag_T20,dE0_vs_unconf_meV,dE1_vs_unconf_meV,dE2_vs_unconf_meV
inf,0.0,8,-4.95973472322856,-50.197618688898935,-24.935220877729623,25.262397811169315,-27.119761740489793,-25.104566508607675,23.077856948409142,2.184540862760171,0.5000000000000357,0.0,0.0,0.0
20,0.08,8,-4.959388547452843,-50.196474767074555,-24.935220877729623,25.261253889344932,-27.104470962400228,-25.080678230034422,23.092003804674327,2.169250084670605,0.500000000000033,0.015290778089566137,0.02388827857325096,0.10931526171154525
25,0.08,8,-4.959676621366945,-50.19742672606294,-24.935220877729623,25.26220584833332,-27.11714928856024,-25.10046887084055,23.080277437502705,2.181928410830616,0.4999999999999768,0.0026124519295553372,0.0040976377671253505,0.021152069569058823
30,0.08,8,-4.959721209744303,-50.19757404287304,-24.935220877729623,25.262353165143416,-27.119152143613853,-25.103609541922076,23.078421899259187,2.1839312658842314,0.4999999999998159,0.0006095968759396719,0.0009569666855994974,0.005102243210160229
