case,halfwidth_nm,ngrid,nev,dx_nm,pR_diag,E0_meV,E_last_meV,last_weight_fraction,runtime_s
coarse,25.0,128,30,0.3937007874015741,0.77121647685418,-27.709384355567735,20.917150772187068,4.803567464746827e-13,1.3395066261291504
production,25.0,160,30,0.31446540880503093,0.7711356777913605,-27.699948059884917,20.948265208078368,4.743916346067182e-13,2.1576201915740967
fine,25.0,192,30,0.2617801047120416,0.7710919289991426,-27.694850729436222,20.96507284023345,4.712002442627688e-13,3.617440938949585
small_box,20.0,160,30,0.2515723270440269,0.7710841034497499,-27.693968686488518,21.800643503352973,2.9031974824148185e-13,2.926271438598633
large_box,30.0,160,30,0.37735849056603854,0.7711983387149727,-27.70726354743722,20.920156132561704,4.801191553899283e-13,2.6613988876342773
n20,25.0,160,20,0.31446540880503093,0.7711356778109125,-27.69994805988606,12.776138238718246,5.4377893971500374e-11,1.9935598373413086
n40,25.0,160,40,0.31446540880503093,0.7711356777910445,-27.699948059885692,26.971864179372794,1.4396498868273715e-14,2.9122390747070312
