test,P,n_chains,p_bead_mean,p_bead_sem,p_centroid_mean,p_centroid_sem,span_05_mean,span_05_sem,span_10_mean,span_10_sem,span_15_mean,span_15_sem,span_20_mean,span_20_sem,Rg2_nm2_mean,Rg2_nm2_sem,Vmean_eV_mean,Vmean_eV_sem,max_bead_radius_nm_mean,max_bead_radius_nm_sem
steep,32,8,0.7845104166666667,0.008913418206638405,0.7993333333333333,0.009513009749671996,0.21672222222222223,0.0020589846986847652,0.14161111111111113,0.0022125782800847186,0.11844444444444445,0.0022474755581495687,0.08783333333333335,0.002129721645125082,7.4007199209764725,0.03182596354934883,-0.036439836975773215,4.488525520975645e-05,16.562245252957055,0.3404020721307769
steep,64,8,0.7452361111111112,0.01864620479921723,0.7565,0.019547335483768392,0.20450000000000002,0.0037274306133142604,0.14922222222222223,0.0027701482524204388,0.11661111111111111,0.0023636540927542676,0.093,0.002168802366215903,7.467356880410723,0.025859971456037065,-0.036203616913270245,4.528760100613288e-05,16.007413589055847,0.22770377866523972
steep,128,8,0.7711931423611111,0.017835999147022802,0.7856666666666667,0.019135597086000277,0.2041111111111111,0.003105153024996027,0.14577777777777778,0.0034559459790669857,0.10600000000000001,0.003114510614341044,0.08538888888888889,0.003403947806620131,7.444853320258346,0.041645785122522094,-0.03626261131076803,4.008872283988939e-05,16.561159840057087,0.3736317511255967
zero,32,8,0.49597916666666664,0.010543268028296084,0.4963888888888889,0.011229979245859447,0.2495,0.002784357287175178,0.16544444444444445,0.0027752369331776627,0.14322222222222222,0.0020083599528412147,0.10783333333333334,0.0027969970039059583,7.590483368604863,0.04328438243706177,-0.0356416838462373,3.125325261868569e-05,15.384294439498545,0.39505031159009246
zero,64,8,0.5073828125000001,0.010817651309633037,0.507,0.011993457946301397,0.23344444444444445,0.002805575200308404,0.17427777777777778,0.0034471955219410304,0.13772222222222222,0.0031577429262064785,0.1123888888888889,0.002825229618737044,7.727304721515379,0.038833803263402585,-0.035464500167649154,3.481022299052634e-05,15.141999284660624,0.3414039426911448
zero,128,8,0.4993637152777778,0.018257507586388222,0.49883333333333335,0.019495748643423478,0.2346111111111111,0.004422515344835858,0.1691111111111111,0.005068142363766073,0.1275,0.004889204535264845,0.10488888888888889,0.0051776210889841546,7.686807731183973,0.06907378779085976,-0.03544544963277317,4.345800170139446e-05,15.885291827678568,0.23735052134091686
