p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global
0.27644444444444444,0.28915277777777776,0.24222222222222223,0.16177777777777777,0.13955555555555554,0.104,7.623607018558194,-0.03752528845999183,-2.2045450434381415,0.060277457880966154,14.47503736131409,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150000,2250,0.9126777777777778,0.525,0.48335195530726255
0.376,0.37972222222222224,0.21911111111111112,0.14133333333333334,0.12,0.08933333333333333,7.290055946136842,-0.0376065982023983,-1.264029837892636,0.015171281076929107,15.65760355720696,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150001,2250,0.9124784722222222,0.5253666666666666,0.48352139425762486
0.288,0.29406944444444444,0.20222222222222222,0.14222222222222222,0.12133333333333333,0.09066666666666667,7.220087624176947,-0.03779154977564663,-2.140382425920019,-0.01747202586679972,15.014489890046994,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150002,2250,0.91218125,0.5209888888888888,0.4791000330870189
0.3008888888888889,0.30568055555555557,0.21866666666666668,0.14622222222222223,0.12266666666666666,0.09111111111111111,7.354129840173092,-0.03770818223698767,-2.0213458590288638,0.012468071690983452,15.82895313417025,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150003,2250,0.9116694444444444,0.5245777777777778,0.4758397500278987
0.31155555555555553,0.3267777777777778,0.24177777777777779,0.16755555555555557,0.14888888888888888,0.10666666666666667,7.571115921708309,-0.037527743223315785,-1.8248451279244824,0.0012345246924708845,16.208703821097874,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150004,2250,0.9126555555555556,0.5291888888888889,0.4714573539288113
0.2831111111111111,0.29493055555555553,0.22177777777777777,0.14666666666666667,0.12133333333333333,0.09288888888888888,7.330576507451635,-0.037592392492439515,-2.1336069927060213,-0.005560948393875322,15.77629068905435,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150005,2250,0.9121041666666667,0.5263888888888889,0.4842093516348622
0.30844444444444447,0.32079166666666664,0.21688888888888888,0.13777777777777778,0.11733333333333333,0.09066666666666667,7.357317497905182,-0.037769235987721826,-1.9006820954680514,0.015076949962122213,14.042202923286528,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150006,2250,0.9123326388888889,0.5258333333333334,0.48752506126085987
0.3368888888888889,0.3438333333333333,0.2288888888888889,0.14577777777777778,0.12,0.09022222222222222,7.331829638696366,-0.03757240612161236,-1.6692349989606063,-0.010235509710672629,17.34011240271918,32,-0.00044175557775417296,-0.44175557775417296,0.004,25.0,150007,2250,0.9121180555555556,0.5264222222222222,0.48459663120567376
0.2951111111111111,0.29977777777777775,0.20977777777777779,0.13111111111111112,0.10977777777777778,0.08088888888888889,7.1709943355976735,-0.037571490813919646,-2.0528169010035375,0.003796834771597269,15.81438058836695,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150100,2250,0.9125041666666667,0.5272666666666667,0.4850206036306938
0.3631111111111111,0.371875,0.22,0.14666666666666667,0.12444444444444444,0.09333333333333334,7.363349091311284,-0.03747948463549294,-1.3361696706886954,-0.011005933277044187,14.884578538854246,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150101,2250,0.9117444444444445,0.5231777777777777,0.48199046880195057
0.37066666666666664,0.37851388888888887,0.212,0.1351111111111111,0.11377777777777778,0.08533333333333333,7.253651908289759,-0.03755161236059334,-1.3091743439007404,0.021015090648035188,16.588437352891198,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150102,2250,0.9121305555555556,0.5226777777777778,0.48084205836489197
0.37866666666666665,0.379625,0.2262222222222222,0.13822222222222222,0.11511111111111111,0.08577777777777777,7.220895023024849,-0.03760346025816671,-1.265608764948988,0.004559748505293462,20.41133489920509,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150103,2250,0.9123138888888889,0.5222777777777777,0.4741111111111111
0.4493333333333333,0.4516527777777778,0.25022222222222223,0.17466666666666666,0.15022222222222223,0.11466666666666667,7.551976459616275,-0.037256362812287634,-0.57930170454349,-0.02207812941493164,15.782432963379259,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150104,2250,0.9124131944444445,0.5280666666666667,0.4907675194660734
0.3413333333333333,0.35194444444444445,0.23777777777777778,0.164,0.1448888888888889,0.11022222222222222,7.499113638160556,-0.037427845671891086,-1.568113700905314,-0.0068825682859081335,14.137394449213723,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150105,2250,0.9122652777777778,0.5240666666666667,0.48269703058718466
0.33066666666666666,0.3406111111111111,0.24266666666666667,0.15333333333333332,0.1328888888888889,0.10044444444444445,7.424651692926612,-0.03732703683969811,-1.6661309921769223,0.006360822025095653,16.477225447638205,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150106,2250,0.9119284722222222,0.5255111111111112,0.476721094439541
0.31955555555555554,0.3238333333333333,0.224,0.14222222222222222,0.11688888888888889,0.08622222222222223,7.32471899143318,-0.037424706274204945,-1.8578449701555004,0.011779246951894615,15.81202604344528,32,-0.0003815161807876948,-0.3815161807876948,0.004,25.0,150107,2250,0.9124583333333334,0.5262888888888889,0.47656691134952006
0.49955555555555553,0.49454166666666666,0.232,0.1471111111111111,0.12844444444444444,0.096,7.330100593240851,-0.03734443003900113,-0.14131871140168312,-0.0005306977774287481,14.111200953196501,32,-0.0003413565828100427,-0.3413565828100427,0.004,25.0,150200,2250,0.9122597222222222,0.5242888888888889,0.48101126076396555
