Rwall_nm,wall_test,n_chains,p_bead_mean,p_bead_sem,p_centroid_mean,p_centroid_sem,span_05_mean,span_05_sem,Rg2_nm2_mean,Rg2_nm2_sem,Vmean_eV_mean,Vmean_eV_sem,max_bead_radius_nm_mean,max_bead_radius_nm_sem
20.0,steep,8,0.7603993055555556,0.008567909080607599,0.7733888888888889,0.008892236472819209,0.20650000000000002,0.00404815589343668,7.465191479391702,0.03675515278195923,-0.03623788848116628,3.754425660906992e-05,15.478782057933216,0.3497796860963619
20.0,zero,8,0.49690538194444445,0.015343522632892787,0.49844444444444447,0.016453665368435004,0.23544444444444446,0.0028055752003084034,7.696545733944264,0.022790985083696258,-0.03546383273557946,3.193576099343152e-05,15.424637557682,0.4122511384973103
25.0,steep,8,0.7703611111111112,0.013244385176424725,0.7830555555555556,0.013624709760188758,0.206,0.0021528865819918706,7.520832698624871,0.017483809851942,-0.03623445250799623,3.2999428255314214e-05,15.686149975182918,0.2535870335123059
25.0,zero,8,0.5004713541666668,0.010803478496948654,0.5007222222222223,0.012069153329091847,0.23122222222222222,0.0020842061663653485,7.667545759358846,0.04141811698905987,-0.035477871419189844,3.414151454114108e-05,16.02459537970272,0.2944448374815646
30.0,steep,8,0.7671163194444444,0.012338707358443562,0.7817222222222222,0.013450395508304059,0.20477777777777778,0.0018473490229781722,7.514666201095434,0.027827266154925544,-0.036229299211104626,3.707494689345347e-05,15.650707339781077,0.4430755601178426
30.0,zero,8,0.5053940972222222,0.009049377943507197,0.5047222222222222,0.010125817840987148,0.23122222222222222,0.003618246917828773,7.6932857388684655,0.02812848182727394,-0.035483950414238186,2.355950917948563e-05,15.907919138777615,0.5556933552061754
