P,p_bead_cross_meV_per_nm,p_bead_cross_boot_sd,p_bead_cross_ci_lo,p_bead_cross_ci_hi,bootstrap_bracket_fraction,p_centroid_cross_meV_per_nm,p_centroid_cross_boot_sd,p_centroid_cross_ci_lo,p_centroid_cross_ci_hi
32,-0.44314469677928814,0.005888805074315235,-0.45938383612818395,-0.4350397585464016,1.0,-0.44426371456051084,0.006028528631309444,-0.4628960775958763,-0.4370534369586925
64,-0.44137679809074704,0.0032167234082803135,-0.44838532444615326,-0.4363140381064146,1.0,-0.4414801160846269,0.003247003251474401,-0.4484562223130358,-0.43594849526950435
128,-0.4672544756739018,0.020770611004070638,-0.5042457352699341,-0.4228923139844157,0.9812666666666666,-0.46820825313629505,0.020650967001046933,-0.5045752485170593,-0.4236251637659979
