p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global,wall_test
0.5062222222222222,0.506625,0.24355555555555555,0.18622222222222223,0.1497777777777778,0.12044444444444445,7.777099974029814,-0.035437645889882435,0.056540175059806616,-0.007652958742371493,14.406568907687094,64,0.0,0.0,0.0,30.0,330000,2250,0.9146211805555555,0.2594222222222222,0.48965129358830145,zero
0.5408888888888889,0.5391458333333333,0.2391111111111111,0.1768888888888889,0.13822222222222222,0.10622222222222222,7.680759539168328,-0.03539611343679136,0.3631384216705755,-0.019380464491895257,18.130621928469836,64,0.0,0.0,0.0,30.0,330001,2250,0.9144875,0.26415555555555553,0.48761946133796696,zero
0.45555555555555555,0.4593055555555556,0.21422222222222223,0.15733333333333333,0.132,0.10533333333333333,7.54266463287284,-0.035612112314377366,-0.4049488672995469,-0.0106172204429197,15.03797545280855,64,0.0,0.0,0.0,30.0,330002,2250,0.9147038194444445,0.25806666666666667,0.497136563876652,zero
0.524,0.5205138888888889,0.22666666666666666,0.1671111111111111,0.124,0.10177777777777777,7.665920727303121,-0.035541244228597405,0.21891722479590864,0.011434401543625124,14.136697571839479,64,0.0,0.0,0.0,30.0,330003,2250,0.9145041666666667,0.2592777777777778,0.49039320822162646,zero
0.4826666666666667,0.4900625,0.24044444444444443,0.17777777777777778,0.144,0.116,7.792977598209012,-0.035447123648308,-0.11465733248400879,0.02145339020774045,14.688830324645094,64,0.0,0.0,0.0,30.0,330004,2250,0.914809375,0.2592555555555556,0.49071762023667354,zero
0.5146666666666667,0.5109305555555556,0.22977777777777778,0.1688888888888889,0.13866666666666666,0.11244444444444444,7.696405942636011,-0.03548285272254615,0.12261647912157615,-0.028454871572748685,16.54505638104411,64,0.0,0.0,0.0,30.0,330005,2250,0.9142895833333333,0.2579222222222222,0.4810560035347399,zero
0.5297777777777778,0.5284097222222223,0.2351111111111111,0.176,0.13866666666666666,0.11688888888888889,7.7384421562879595,-0.035471412990369953,0.27896105512973157,-0.00857095037552581,17.92773046025424,64,0.0,0.0,0.0,30.0,330006,2250,0.9147072916666666,0.26043333333333335,0.4844340671558817,zero
0.484,0.4881597222222222,0.22088888888888888,0.17377777777777778,0.1351111111111111,0.11022222222222222,7.6520153404406415,-0.03548309808303279,-0.141404331485871,-0.0004017663254042721,16.389872083472532,64,0.0,0.0,0.0,30.0,330007,2250,0.9144010416666667,0.2594222222222222,0.49640287769784175,zero
0.7071111111111111,0.6989652777777777,0.20577777777777778,0.14622222222222223,0.10933333333333334,0.08844444444444445,7.4090749691146165,-0.036116511321048254,2.01377932598296,-0.013939579666156676,14.53291669234899,64,0.000258519998,0.258519998,0.0,30.0,330100,2250,0.9143357638888889,0.2546777777777778,0.4851692579115669,steep
0.8084444444444444,0.7953472222222222,0.20044444444444445,0.1471111111111111,0.11244444444444444,0.08711111111111111,7.495649629810687,-0.03639775061490362,2.948870610386274,0.02584755451755151,15.834069124662395,64,0.000258519998,0.258519998,0.0,30.0,330101,2250,0.9147690972222222,0.25224444444444444,0.48642306402950053,steep
0.7431111111111111,0.732125,0.19822222222222222,0.14,0.11377777777777778,0.09111111111111111,7.489654953144371,-0.0361700219449384,2.389838806723253,-0.03027384012377745,15.569309796921045,64,0.000258519998,0.258519998,0.0,30.0,330102,2250,0.9148076388888889,0.25566666666666665,0.4918942926937597,steep
0.8044444444444444,0.7845069444444445,0.2048888888888889,0.14533333333333334,0.11511111111111111,0.09466666666666666,7.560412806747023,-0.03618197645866164,2.881475892371489,0.004566956735643491,15.193017795998376,64,0.000258519998,0.258519998,0.0,30.0,330103,2250,0.9142645833333334,0.2569222222222222,0.4913432160235374,steep
0.7795555555555556,0.7629166666666667,0.21155555555555555,0.15688888888888888,0.12666666666666668,0.10622222222222222,7.602166687754019,-0.036186137367014544,2.6422384697403043,0.009769817200017121,18.559931078661993,64,0.000258519998,0.258519998,0.0,30.0,330104,2250,0.914309375,0.2538222222222222,0.4887402452619844,steep
0.8195555555555556,0.8006458333333333,0.21288888888888888,0.15155555555555555,0.11511111111111111,0.096,7.499490123993335,-0.03631628809451768,2.9952820583187236,0.007148900190086435,14.857411122799496,64,0.000258519998,0.258519998,0.0,30.0,330105,2250,0.9146614583333333,0.2536111111111111,0.4867707295472158,steep
0.7982222222222223,0.7842152777777778,0.20355555555555555,0.15022222222222223,0.11422222222222222,0.09111111111111111,7.632298544865778,-0.03613119423986464,2.874383101986388,0.02500096275335558,15.017041482941124,64,0.000258519998,0.258519998,0.0,30.0,330106,2250,0.9143857638888889,0.2588111111111111,0.49843819723337796,steep
0.7933333333333333,0.7782083333333333,0.2008888888888889,0.14933333333333335,0.11511111111111111,0.09244444444444444,7.428581893333641,-0.036334513647888214,2.8140138382655553,0.039450925567000035,15.641961623915202,64,0.000258519998,0.258519998,0.0,30.0,330107,2250,0.9145208333333333,0.2502888888888889,0.4949754354622599,steep
