Rwall_nm,p_bead_cross_meV_per_nm,p_bead_cross_boot_sd,p_bead_cross_ci_lo,p_bead_cross_ci_hi,bracket_fraction,p_centroid_cross_meV_per_nm,p_centroid_cross_boot_sd,p_centroid_cross_ci_lo,p_centroid_cross_ci_hi
20,-0.4413027299139164,0.004993182186990267,-0.45107832843939416,-0.43225590526067276,1.0,-0.441330435106529,0.005083566316988098,-0.4516217780046232,-0.43272584370899436
25,-0.4491535858509421,0.0021016487641392877,-0.4529333182031367,-0.44455105152292096,1.0,-0.44966455962055585,0.0019142680547632198,-0.4535177418582522,-0.4459520085499307
30,-0.4369346836713996,0.011153335150381102,-0.4484081361511627,-0.4067411841134513,1.0,-0.4397548096737586,0.011472002036750006,-0.44918155612036137,-0.40587375461726277
