P,n_chains,samples_per_chain,Eprim_eV,SEMprim_chain_eV,Evir_eV,SEMvir_chain_eV,agreement_sigma,mean_tau_prim,mean_tau_vir,max_radius_nm
32,8,9000,-0.026953806155663028,3.2136582055994574e-05,-0.026913243802770874,2.8962736427336153e-05,0.9375978870220775,0.519891566294254,0.5519514519768471,18.184007729207035
80,8,9000,-0.026647431816573378,6.824663986737981e-05,-0.026686951854972704,4.111482441654865e-05,0.4960183945382534,0.5253873659519519,0.5427499176342243,18.364026558078095
