p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global
0.048,0.065875,0.14755555555555555,0.08577777777777777,0.07022222222222223,0.050666666666666665,7.026371689335181,-0.03808671242602365,-4.412678029328041,0.0245137075517216,16.053877072424633,32,-0.00051703999572,-0.51703999572,0.0,25.0,100000,2250,0.912725,0.5260111111111111,0.47513448238006367
0.058222222222222224,0.07308333333333333,0.15644444444444444,0.08711111111111111,0.07066666666666667,0.04844444444444444,6.965118092005409,-0.038134129005327574,-4.366703162829669,0.015812385623739,17.14159943367369,32,-0.00051703999572,-0.51703999572,0.0,25.0,100001,2250,0.9124111111111111,0.5261666666666667,0.47898131672597866
0.023555555555555555,0.04491666666666667,0.148,0.084,0.06844444444444445,0.04933333333333333,6.891576172490231,-0.03818315579299958,-4.597835429292795,-0.00057255914755971,15.31118833249443,32,-0.00051703999572,-0.51703999572,0.0,25.0,100002,2250,0.9123229166666667,0.5274,0.48216689098250337
0.05688888888888889,0.0762638888888889,0.16977777777777778,0.09777777777777778,0.07955555555555556,0.058666666666666666,7.1374379815060145,-0.037974038464394705,-4.336182092163364,-0.027566960891722014,18.597206441167987,32,-0.00051703999572,-0.51703999572,0.0,25.0,100003,2250,0.9121875,0.5291333333333333,0.48310735719048675
0.06933333333333333,0.08716666666666667,0.16755555555555557,0.09733333333333333,0.08222222222222222,0.05555555555555555,7.001861975035032,-0.03797877710245164,-4.2220283746896845,-0.01498820518076605,16.03571710034716,32,-0.00051703999572,-0.51703999572,0.0,25.0,100004,2250,0.9124930555555556,0.5275222222222222,0.4826120135179331
0.10088888888888889,0.11952777777777777,0.18844444444444444,0.11288888888888889,0.09422222222222222,0.06977777777777777,7.177738652673733,-0.03773318650430766,-3.903556205606228,-0.0017798433393601998,16.215565907945308,32,-0.00051703999572,-0.51703999572,0.0,25.0,100005,2250,0.91241875,0.5286111111111111,0.4846034559149313
0.06711111111111111,0.08854166666666667,0.18,0.10444444444444445,0.08488888888888889,0.05644444444444444,7.164050613866697,-0.037857304848237634,-4.2041058446998045,0.0001896201002267317,16.39076793315161,32,-0.00051703999572,-0.51703999572,0.0,25.0,100006,2250,0.9125451388888889,0.5301333333333333,0.48507879736224435
0.06444444444444444,0.07894444444444444,0.15688888888888888,0.092,0.07555555555555556,0.059111111111111114,7.066081953646916,-0.03802349982299356,-4.303647921967582,-0.015724405255014038,17.784051979361898,32,-0.00051703999572,-0.51703999572,0.0,25.0,100007,2250,0.9124493055555556,0.5278,0.4737903225806452
0.116,0.13629166666666667,0.196,0.12088888888888889,0.10044444444444445,0.07022222222222223,7.234609454579188,-0.03717300383989525,-3.6875262224827448,-0.006176031953195808,15.094742804806529,32,-0.00038777999679000003,-0.38777999679,0.0,25.0,100100,2250,0.9126131944444444,0.5286222222222222,0.4885213796104885
0.10444444444444445,0.12397222222222222,0.20044444444444445,0.11911111111111111,0.10133333333333333,0.07733333333333334,7.297842954272513,-0.037255577338598626,-3.8190066905938633,-0.0004719098303686534,14.048572156057448,32,-0.00038777999679000003,-0.38777999679,0.0,25.0,100101,2250,0.9125076388888889,0.5306444444444445,0.4841501798561151
