asymmetry_eV,Ex_eV_per_nm,Ex_meV_per_nm,n_chains,p_bead_mean,p_bead_sem,p_centroid_mean,p_centroid_sem,Rg2_nm2_mean,Rg2_nm2_sem,Vmean_eV_mean,Vmean_eV_sem
0.002,-0.0002208734747423514,-0.2208734747423514,8,0.40842708333333333,0.020854003923681412,0.4033888888888889,0.02278988257528797,7.551205944370784,0.03967522948383733,-0.036549084960721304,2.441378071904861e-05
0.002,-0.00019075436455021256,-0.19075436455021255,8,0.4501597222222222,0.02414157881221309,0.44633333333333336,0.025133400698827656,7.456546124220434,0.031551401246998095,-0.03654980420790739,2.8493247258144907e-05
0.002,-0.00017067495775545334,-0.17067495775545335,8,0.47222916666666664,0.014243625097928368,0.47011111111111115,0.014805440155600175,7.485553605281785,0.04840382965941369,-0.03648820857074596,4.550969001011403e-05
0.002,-0.00015059555096069412,-0.15059555096069413,8,0.45114756944444445,0.025823656493387304,0.4474444444444444,0.027286416050515568,7.498667866584633,0.021160039456646004,-0.03651594729311529,2.0495388395151008e-05
0.002,-0.00013051614416593492,-0.13051614416593493,8,0.5331788194444445,0.018204078056171722,0.5358333333333334,0.018889624168695572,7.464325715266179,0.034435370137207745,-0.03652890963567862,2.5006129512804877e-05
0.002,-0.0001104367373711757,-0.1104367373711757,8,0.5363211805555557,0.027292262836987335,0.5397222222222222,0.029570462585079567,7.505999442374214,0.023000381249861677,-0.0365305683035716,2.5936793938144964e-05
0.002,-9.035733057641648e-05,-0.09035733057641647,8,0.5532447916666667,0.02161908965065236,0.5551666666666666,0.023122164252461594,7.442265700219089,0.04029919779899985,-0.03658210358239887,3.453547610476827e-05
0.004,-0.00044175557775417296,-0.44175557775417296,8,0.3193697916666667,0.010885465142388457,0.31016666666666665,0.011572465496684694,7.38483999935082,0.04915191418899403,-0.03763667456251424,3.730689154141781e-05
0.004,-0.0003815161807876948,-0.3815161807876948,8,0.36222916666666666,0.016149393702001323,0.35605555555555557,0.016574014956591086,7.351168892545024,0.04769746876336962,-0.0374552499582818,4.2893113382986855e-05
0.004,-0.0003413565828100427,-0.3413565828100427,8,0.4692239583333333,0.015321492167117553,0.47055555555555556,0.016089421634606853,7.4082790643464875,0.054142766451833094,-0.03737269228813383,2.5882254980108303e-05
0.004,-0.00030119698483239065,-0.30119698483239066,8,0.4892378472222222,0.01962788250111268,0.4909444444444444,0.020613678015831808,7.375512116961548,0.038825232174362824,-0.037404798229144574,2.401313494970531e-05
0.004,-0.00026103738685473855,-0.26103738685473854,8,0.5139375,0.013940709378514084,0.5148333333333333,0.015461378748489182,7.388891934473264,0.030257087463685012,-0.037417642360329934,2.44037705093981e-05
0.004,-0.00022087778887708648,-0.22087778887708648,8,0.56334375,0.016060609424471656,0.5681111111111111,0.017258640450336853,7.359538828416332,0.04839906345957709,-0.03749663190596947,1.2896794938108398e-05
0.004,-0.00018071819089943438,-0.1807181908994344,8,0.6264895833333334,0.0149056607123433,0.6331111111111112,0.015529456563705671,7.316653918169587,0.05066577338034744,-0.03766689408995509,3.2518296946506144e-05
0.006,-0.0006626539110751008,-0.6626539110751009,8,0.25016840277777774,0.009190494987752394,0.23844444444444446,0.009927070928194476,7.259965185113909,0.04566509910202374,-0.03873128330283266,4.463940745953098e-05
0.006,-0.0005722920141103143,-0.5722920141103144,8,0.3230208333333333,0.02111051553827824,0.31527777777777777,0.022455590113307212,7.321954126890292,0.03833396010279372,-0.03838620732469755,4.8612942177481685e-05
0.006,-0.0005120507494671233,-0.5120507494671234,8,0.4384704861111111,0.03305191279755429,0.43655555555555553,0.034931401659101635,7.3755482814946305,0.02469690977455197,-0.03823152105931481,2.755912142559199e-05
0.006,-0.00045180948482393237,-0.45180948482393235,8,0.5200555555555555,0.015200246998596512,0.5226666666666666,0.016349144706310055,7.312778368988798,0.035684910054153474,-0.03829864359870411,3.361931341162334e-05
0.006,-0.0003915682201807414,-0.3915682201807414,8,0.5321597222222223,0.01973857156842229,0.5344444444444445,0.02162841556352106,7.284566251400898,0.03557098392810483,-0.03826669480041929,3.7905169579375916e-05
0.006,-0.0003313269555375504,-0.3313269555375504,8,0.6137829861111112,0.026033729602296395,0.6212777777777778,0.028162721617217484,7.198732500677945,0.04533201782916342,-0.03855501602252618,6.52549642972287e-05
0.006,-0.0002710856908943594,-0.2710856908943594,8,0.7077118055555556,0.017873642846861784,0.7191111111111111,0.019246108656367354,7.07900434063226,0.028481472147651427,-0.038824152987787464,3.828081908674326e-05
