asymmetry_nominal_meV,Delta0_min_to_min_meV,xA_nm,xB_nm,Ecrit_minimum_meV_per_nm,p_bead_cross_meV_per_nm,p_bead_cross_boot_sd,p_bead_cross_ci_lo,p_bead_cross_ci_hi,p_bead_boot_bracket_fraction,p_centroid_cross_meV_per_nm,p_centroid_cross_boot_sd,p_centroid_cross_ci_lo,p_centroid_cross_ci_hi,p_centroid_boot_bracket_fraction
2.0,1.9917336477383585,-4.957994801028194,4.961290505040742,-0.20079406794759216,-0.13863757365280568,0.008931132876560768,-0.17169867414813933,-0.12963838824031299,1.0,-0.13865644421786433,0.008145524559468162,-0.17077693235399508,-0.13067422498859302,1.0
4.0,3.983465542571868,-4.956307117084925,4.962780082912886,-0.40159597977652084,-0.28369861217030695,0.020685364443608852,-0.3414072831508486,-0.25611884673283475,1.0,-0.28597369536644335,0.02191385452642727,-0.34199859562041857,-0.2556810397898648,1.0
6.0,5.97519412163388,-4.9546135232480895,4.964159193468526,-0.6024126464319098,-0.46661822419273496,0.014705879652284684,-0.5075871484478839,-0.43808528462053353,1.0,-0.46766654029130134,0.01463616978842618,-0.5085040246704718,-0.44041248881035566,1.0
